Title,Year,Languages,Suggestion ID,Suggestions
Ace Ventura: Pet Detective,1994,"English, Spanish, French, Hindi, Italian, Japanese, Polish, Turkish",215309,"215318, 70021643, 60001650, 17236928, 70044593, 70028904, 81222715, 60020801, 70228042, 70059988, 60002139, 60004471"
Evolution,2001,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Tamil, Turkish",60004471,"215309, 60031216, 70097578, 215318, 81489818, 60001650, 70217910, 11819467, 70123542, 70060015, 81277430, 80216309"
Ride Along 2,2016,"Czech, German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Russian, Turkish, Ukrainian",80067830,"80094318, 17236928, 81161828, 81251628, 60020801, 60022059, 70059988, 81446739, 81161626, 80232655, 80013275, 80031715"
Rush Hour,1998,"English, Hindi",17236928,"70059988, 60020801, 80094318, 60001650, 80067830, 215309, 60022059, 70228042, 70044593, 81199140, 80031715, 80216309"
The 5th Wave,2016,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Korean, Polish, Portuguese",80067831,"70097578, 80167481, 80027980, 80218306, 70060015, 80236421, 70262639, 70138789, 81277430, 80117456, 70298735, 80216309"
Against The Ice,2022,"Unknown, Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Thai, Turkish",81115160,"81268316, 80046309, 80179070, 81449034, 81054619, 81690671, 80048473, 80157072, 81365134, 81564732, 81174182, 81010969"
The Skin of the Wolf,2018,"German, Spanish, French, Italian, Portuguese",80168029,"80179070, 80157072, 81115160, 80242912, 81690671, 81073387, 81426931, 81285617, 81167887, 81176731, 81341214, 81268316"
Vicky and Her Mystery,2021,"German, English, Spanish, French, Portuguese, Turkish",81191433,"81107362, 80204923, 80245121, 80992263, 81309532, 81040639, 81427442, 81488581, 81023618, 28631029, 81220825"
Knights of the Zodiac,2023,"English, Spanish, Hindi",81696507,"80991090, 81416258, 80187362, 70264797, 70097578, 70305899, 80179070, 80106735, 81267307, 70117305, 81464239"
Atlas,2024,"Czech, German, English, Spanish, Spanish, Filipino (Tagalog), French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Russian, Tamil, Telugu, Thai, Turkish, Ukrainian",81012048,"70097578, 81767635, 81624666, 81762621, 81465109, 81199145, 81464239, 81416258, 81057361, 81288179, 81183713, 70075481"
